"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Short note","Advanced note","Quotes","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description","Date added"
"308939","9783453438026","2021 und davor","5 Books per month,Horror",0,,,720,1,,,,"","Doctor Sleep (The Shining, #2)",,"de","","Stephen King","","Bernhard Kleinschmidt","","","","Heyne",720,"2015-06-15","paperback","The Shining",2,,,,,,,,"Die große Fortsetzung von ""Shining""

Auf Amerikas Highways ist eine mörderische Sekte unterwegs. Sie hat es auf Kinder abgesehen, die das Shining haben. Stephen King kehrt zu den Figuren und Szenarien eines seiner berühmtesten Romane zurück: Der Dreirad fahrende kleine Danny, der im Hotel Overlook so unter seinem besessenen Vater hat leiden müssen, ist erwachsen geworden. Aber die Vergangenheit lässt ihn nicht los, und wieder gerät er in einen Kampf zwischen Gut und Böse. Die zwölfjährige Abra hat das Shining. Kann er sie retten?","2022-11-28"
"577122","9783453025233","2021 und davor","Horror",0,,,714,1,,,,"","Der Talisman","Roman","de","Fantastique,Romans,Talismans","Stephen King,Peter Straub","","Christel Wiemken","","","","Heyne",714,"2000-01-01","paperback","The Talisman",1,,,,,,,,"Der zwölfjährige Jack Sawyer hat eine weite, abenteuerliche Reise vor sich. Er begibt sich auf die Suche nach dem Talisman, der allein durch seine magische Kraft Jacks todkranke Mutter retten kann. Um ihn zu erreichen, muss Jack jedoch eine geheimnisvolle, fantastische Gegenwelt durchqueren - die Region.","2022-11-28"
"57615","9783453024359","2021 und davor","Fantasy",0,,,382,1,,,,"","Die Augen des Drachen","Die Augen Des Drachen Roman","de","","Stephen King","","Joachim Körber","","","","Heyne",382,"1995-01-01","paperback",,,,,,,,,,"In jungen Jahren hatte der König von Delain noch selbst Drachen gejagt - jetzt ist Roland alt und krank. Bald wird sein ältester Sohn Peter die Macht übernehmen. Doch Flagg, der Hofmagier, macht alle Pläne zunichte: Roland fällt einem hinterhältigen Giftmord zum Opfer. Drachensand, ein geheimes Zauberelixier, läßt ihn innerlich verbrennen. Der Verdacht fällt auf Peter, der schließlich von Flagg in den Kerker geworden wird. Thomas, der jüngere Sohn des Königs und einziger Zeuge des scheußlichen Verbrechens, ist nur ein willenloses Werkzeug in den Händen des Magiers. Henker und Folterknechte machen sich in Delain an ihre blutige Arbeit.","2022-11-28"
"253238","9783453042186","2021 und davor","Horror",0,,,410,1,,,,"","Nachtvisionen",,"de","","Stephen King","","","","","","Heyne",410,"1990-10-01","paperback","Night Visions",,,,,,,,,"Douglas E. Winter presents a collection of all-new, tantalizingly terrifying stories by masters of horror. ""Strong stuff, with good shudder potential ... A success ... You'll want to read this one!""--Locus.

* Introduction - Douglas E. Winter
* The Reploids - Stephen King
* Sneakers - Stephen King
* Dedication - Stephen King
* Metastasis - Dan Simmons
* Vanni Fucci is Alive and Well and Living in Hell - Dan Simmons
* Iverson's Pits - Dan Simmons
* The Skin Trade - George R.R. Martin

[Some sources give Paul J. Mikol, the Dark Harvest publisher, as editor.]","2022-11-28"
"41487","9783453020535","2021 und davor","Horror",0,,,375,1,,,,"","Brennen muss Salem","Roman","de","Horror","Stephen King","","Ilse Winger,Christoph Wagner","","","","Heyne",375,"1985-01-01","paperback",,,,,,,,,,"Als erfolgreicher junger Romanschriftsteller kehrt Ben Mears an den Ort seiner Kindheit zurück, um in der Abgeschiedenheit dieser ruhigen amerikanischen Kleinstadt ein Buch zu schreiben. Fat gleichzeitig taucht ein Unbekannter auf, der für sich und seinen Kompagnon ein seit Jahrzehnten leerstehendes Haus mietet, dessen einstige Besitzer auf mysteriöse Weise ums Leben gekommen waren. Und wieder geschehen seltsame Dinge: nachts brennen geheimnisvollen Lichter im Fenster, ein Hund wird ermordet, ein Kind verschwindet...
Gekürzte Übersetzung.","2022-11-28"
"1051624","9783492704793","2021 und davor","5 Books per month,Fantasy",0,,,896,1,,,,"","Kinder des Nebels (Die Nebelgeborenen, #1)",,"de","Fantasy","Brandon Sanderson","","","","","","Piper",896,"2018-03-01","paperback","Nebelgeborene",1,,,,,,,,"Ein roter Himmel, Asche, die das Land bedeckt, und unheimliche Nebel, die aus dem Boden emporsteigen – die Welt des Letzten Reiches ist düster und unheilvoll. Der unsterbliche Lord Ruler herrscht mit eiserner Hand und unterdrückt das Volk der Skaa als Sklaven. Doch damit will Kelsier sich nicht abfinden. Der junge Skaa besitzt mächtige Fähigkeiten und versammelt eine Gruppe Rebellen um sich, um einen ungeheuerlichen Plan zu verwirklichen: Mithilfe der magischen Kräfte der Allomantie will Kelsier Lord Ruler stürzen ...","2022-11-28"
"2164969","9783492704687","2021 und davor","5 Books per month,Fantasy",0,,,896,1,,,,"","Die Nebelgeborenen: Held aller Zeiten (Mistborn, #3)","Die Nebelgeborenen 3","de","Fantasy","Brandon Sanderson","","Michael Siefener","","","","Piper",896,"2019-05-02","paperback","Nebelgeborene",3,,,,,,,,"Das Letzte Reich ist Vergangenheit, der Oberste Herrscher besiegt. Das jetzt freie Volk der Skaa und die Nebelgeborenen blickten hoffnungsvoll in die Zukunft. Doch um wirklich ein neues glückliches Zeitalter herbeizuführen, müssen die Helden um Rebellenanführerin Vin und den neuen König Elant noch einige Prüfungen bestehen. Es gilt Kriege mit neuen Feinden zu bestreiten – und nun muss auch noch ein uraltes Grauen besiegt und das Land von einem tödlichen Fluch befreit werden. Doch dafür müssen die mit den magischen Kräften der Metalle ausgestatteten Nebelgeborenen düsteren Geheimnissen aus vergangenen Zeiten auf die Spur kommen, sodass am Ende ein Held aller Zeiten vielleicht doch noch alles zum Guten wenden kann ... 

Endlich liegt die von Fans sehnlichst erwartete Neuausgabe von Brandon Sandersons drittem »Nebelgeborenen«-Roman vor, der zuvor unter dem Titel »Herrscher des Lichts« erschienen war!","2022-11-28"
"251807","9783453317109","2021 und davor","5 Books per month,Fantasy",0,,,896,1,,,,"","Der Weg der Könige","Der Weg Der Könige: Roman","de","","Brandon Sanderson","","Michael Siefener","","","","Heyne",896,"2015-12-01","paperback","Die Sturmlicht-Chroniken",1,,,,,,,,"Roschar ist eine sturmumtoste Welt. Einst von mächtigen Kriegern beherrscht, deren magische Schwerter über Leben und Tod entschieden, droht es nun im Chaos zu versinken. Dalinar, der Großprinz von Alethkar, ist besessen von dem Wunsch, das Geheimnis der Schwerter zu ergründen und das zerfallene Königreich zu einen. Doch der ehemals geniale Heerführer wird von nächtlichen Visionen geplagt, und der Glanz seiner früheren Heldentaten ist längst verblasst. Noch ahnt Dalinar nicht, dass auch der Sklave Kaladin und die junge Adlige Schallan Teil des großen Spiels um das Schicksal der Sturmwelt sind.","2022-11-28"
"164975","9783453317680","2021 und davor","5 Books per month,Fantasy",0,,,783,1,,,,"","Der Pfad der Winde: Roman","Die Sturmlicht-Chroniken 02","de","","Brandon Sanderson","","Michael Siefener","","","","Heyne Taschenbuch",783,"2016-08-08","paperback","Die Sturmlicht-Chroniken",2,,,,,,,,"Für jeden Krieger kommt ein Moment der Entscheidung. Entweder er folgt dem Pfad des Kampfes oder dem Pfad der Ehre. Der eine führt in den Abgrund, der andere in das Herz des Sturms ..","2022-11-28"
"324545","9783453318236","2021 und davor","5 Books per month,Fantasy",0,,,976,1,,,,"","Die Worte des Lichts","Die Worte Des Lichts: Roman","de","","Brandon Sanderson","","Michael Siefener","","","","Heyne Verlag",976,"2017-02-13","paperback","Die Sturmlicht-Chroniken",3,,,,,,,,"Sechs Jahre sind vergangen, seit der König von Alethkar ermordet wurde. Sein Mörder wurde offenbar von dem Volk beauftragt, mit dem der König gerade einen Friedensvertrag unterzeichnet hatte: den Parshendi. In ihrem Rachedurst erklärten die Großprinzen der Alethi den Parshendi erneut den Krieg. Einen Krieg, der inzwischen zu einem Stellungskampf auf der unwirtlichen Zerschmetterten Ebene erstarrt ist, als plötzlich Wesen aus einer längst vergessenen Vergangenheit auftauchen: die Strahlenden Ritter. Können sie den Krieg beenden?","2022-11-28"
